144	140	149	142	144	137	183	189	151	158	144	145	172	176	159	158	158	149	186	146	154	159	181	181	141	197	166	144	174	192	183	169	121	135	170	154	154	175	176	144	167	149	155	140	132	156	110	159	144	121	144	121	126	145	149	139	193	149	144	186	161	199	145	182	162	132	175	165	132	156	154	185	169	178	146	181	154	149	158	156	186	166	158	165	164	179	153	184	179	146	186	158	144	172	162	204	192	159	144	174
219	169	218	209	267	205	258	234	250	298	267	290	232	287	283	279	288	224	202	280	299	264	245	227	252	246	343	278	275	268	255	247	257	273	170	291	264	292	266	209	240	258	189	273	250	274	247	234	252	252	254	194	233	321	283	258	259	257	194	263	280	236	286	230	194	297	251	299	259	264	265	326	256	199	300	243	248	250	281	255	265	333	190	223	270	230	216	246	271	266	271	280	235	263	224	284	167	280	283	199
522	518	455	600	626	688	529	527	647	640	668	546	704	516	566	570	557	524	486	679	528	607	643	544	508	595	582	585	709	480	511	488	418	665	581	594	600	545	624	615	463	606	395	543	448	564	465	433	529	626	636	572	583	771	558	558	529	552	441	559	711	585	542	555	499	460	625	524	643	736	550	565	587	518	580	596	558	588	719	553	549	530	680	497	668	595	499	605	599	656	619	548	572	522	503	615	641	521	588	657
1072	927	1178	1228	1057	1418	1382	1269	1176	1399	1291	1373	1177	1329	1372	1261	1313	1191	1095	1154	1242	1181	1204	1071	1287	1167	1524	1051	1449	1128	1497	1254	1173	1543	1130	1305	1538	1341	1127	1302	1386	1119	1429	1366	1026	1177	1062	1527	1298	1207	1361	1319	1082	1054	1267	1245	1383	1307	1022	1433	1305	1094	1334	1239	1437	1118	1130	1286	1550	1318	1159	1555	1505	1390	1354	1280	1325	1090	1157	1365	1319	1160	1184	1241	1387	1114	1172	1399	1175	1171	1305	1312	1229	1287	1325	1186	1185	1386	1360	1283
2711	2997	2659	3110	3246	2762	3018	2653	2759	3036	3112	3066	3115	3016	3110	3073	3463	3342	2777	3460	3136	3628	2837	3380	2725	3038	2616	3300	2781	3103	2608	3109	2594	2908	3103	3206	2411	2888	3244	3245	2485	2933	2813	3011	2822	2759	2877	2884	3022	2411	2875	2866	3419	2878	3031	3440	3001	2848	3391	2755	3326	3162	3144	3108	2809	3030	2746	3391	2678	2864	3013	3123	2906	2673	2579	2748	2841	3251	3536	3056	2913	3151	3154	3368	2358	2738	2079	3135	3284	3222	3009	3058	3400	2320	3338	3003	2875	2931	2761	3176
7124	7811	7068	7354	7172	7408	7472	7103	6870	6294	6781	7044	6982	7475	7510	7457	6939	7682	7410	7042	7005	7712	7477	7528	7157	6871	7645	7145	5986	7842	6652	7187	7455	8174	7311	7618	7658	7810	7749	7628	7200	8400	7503	6358	6948	7316	7826	6855	6018	6879	7358	6761	7127	6497	6563	8027	7231	7654	6718	7505	6467	7277	7502	6586	7307	7302	7564	6893	7110	6753	6824	6479	7045	7326	6790	7280	7989	5974	7281	6672	7896	7764	7128	7613	7387	6853	6152	5801	6036	7231	8133	7504	7899	6163	6956	7403	7307	6937	7558	7921
17359	16149	17884	15419	17124	17343	17770	16549	15516	14010	19248	16826	17551	16635	17422	15507	19018	19864	18301	18098	14919	18024	16777	16431	17102	15767	17116	16814	18278	16351	19377	19977	16081	17591	19753	19542	17037	17031	17220	16007	15485	16318	17362	15691	17153	18304	16259	17057	17407	16715	17111	18074	17997	16512	16664	18775	16355	16845	17844	16658	15821	17078	17218	16956	15815	19097	18125	14688	16308	15670	17801	16405	16709	18541	18288	16321	16877	16512	17878	16273	19251	17158	15796	16594	17718	18069	16029	16658	16739	16411	16689	15624	17945	16255	16043	17363	16947	18010	17285	16586
45288	44802	39137	38899	43953	41220	42440	40599	43354	36999	42710	41341	43347	42225	38701	43128	41516	38390	42434	43936	42441	42977	42257	40266	41530	43493	39130	44899	42687	37924	41819	42978	43283	43011	46616	40072	38915	40494	40622	39022	40166	42434	39825	43459	40053	42527	41284	36627	40371	38416	39531	44350	43825	42252	43556	41175	40460	41951	40900	39794	41029	45497	48583	38681	44198	44185	42292	41465	43668	44420	39389	41042	42664	41767	41217	43665	44100	43375	41143	39319	43866	44342	42000	39934	43754	40486	41017	43563	42109	41039	43732	43656	38957	42492	43513	42984	40790	39883	41942	39774
99967	98197	103354	105796	109163	92822	101437	106214	104583	104914	100840	96601	112440	110273	99120	96731	105007	106508	101402	98198	103225	99147	106210	109359	108036	104372	104258	105488	110745	101779	117332	110538	97143	101510	105047	99907	102137	103996	103270	99547	101709	99153	104270	102965	110175	102457	107038	99393	99570	112227	102708	105398	99814	99776	102844	106373	109713	102399	114806	106996	103515	95530	105307	100998	108683	98474	107667	106926	101438	102055	104643	110837	103410	108161	105264	104524	104599	106154	99238	100699	109319	99056	106014	105614	97932	105683	97419	100988	104969	109765	109689	95990	103520	102596	102123	101781	107249	96223	104701	107779
271865	260352	273269	244685	250423	251059	250525	256048	261492	251798	254151	271417	261439	273714	256947	258294	268573	246897	272516	242707	259790	247295	269327	252305	258636	263088	256019	255709	260659	270341	248251	250876	238529	261623	273345	259682	246569	266790	251581	268535	264685	257266	258320	244895	265140	267261	267258	252811	240855	262622	260378	268841	259368	244905	244901	255801	254798	255497	260309	248033	268789	261858	270055	249202	260481	244311	268026	247599	253339	274308	262563	254054	262019	265381	255445	255428	257958	254910	248438	264512	251711	247510	259956	260617	233938	242849	257010	274689	254604	259406	239439	244141	253073	266477	265730	271943	265191	252647	257711	262445
