138	121	128	116	44	195	190	147	135	195	102	122	69	96	106	65	102	99	87	116	75	124	178	133	141	186	146	95	178	93	156	62	107	178	116	199	169	74	129	87	121	151	69	97	83	172	136	108	109	161	207	127	74	151	62	132	210	87	110	95	117	104	96	136	60	118	102	130	189	150	96	132	89	141	127	50	71	118	160	129	112	110	164	98	48	166	138	124	189	58	140	129	144	130	120	78	116	154	110	95
439	321	282	344	280	245	318	400	329	329	343	331	377	318	334	284	367	356	382	328	237	258	354	390	295	197	315	361	278	241	322	341	360	379	416	377	273	341	363	326	290	392	260	314	311	354	279	236	262	320	313	399	250	236	291	255	281	361	266	268	342	248	375	211	399	318	263	330	414	259	394	388	385	289	318	296	266	296	396	287	354	317	419	392	198	375	213	301	345	365	351	295	252	419	312	228	326	275	301	430
1421	1303	1242	1263	1402	1191	1372	1275	1436	1269	1134	1252	1349	1096	1236	1186	1362	1315	1321	1299	1237	1314	1260	1375	1220	1394	1309	1386	1435	1348	1347	1221	1325	1255	1354	1349	1374	969	1324	1145	1493	1208	1269	1248	1115	1376	1253	1290	1395	1309	1395	1212	1151	1172	1368	1204	1164	1407	1270	1357	1139	1369	1141	1419	1330	1288	1240	1278	1241	1212	1116	1281	1239	1335	1259	1210	1070	1210	1331	1369	1246	1328	1470	1298	1205	1307	1208	1181	1253	1275	1314	1289	1309	1005	1251	1236	1111	1284	1396	1340
4077	3976	4053	3808	4149	3767	4005	4025	4065	4012	4115	4117	4170	4118	4106	3825	4217	3780	4084	3975	4094	3841	3774	3759	3927	4187	3933	4343	4038	3911	3845	3969	3767	4098	4207	4342	4016	4153	4352	4115	4215	4356	4239	4323	4564	4134	3831	3926	4128	4331	4184	3595	4024	4386	4174	3855	4139	4046	4062	4138	4338	4201	4107	4033	4138	4109	3958	3817	3957	4219	4053	3893	3973	4251	3963	4138	4130	4153	4066	4182	3975	4036	3900	4032	3888	4085	4135	4156	3955	3998	4116	4227	4161	4290	3915	4168	4220	4013	4180	4166
12751	13029	12652	12924	13192	12813	12462	12733	12936	12978	12803	12491	12640	12874	12813	12739	12686	12634	12695	13094	12777	11955	13047	12914	12521	12454	12540	12965	12584	12781	12532	13157	12853	12576	12859	12722	12716	12587	12846	12798	12169	12961	12910	13108	12442	12616	12879	12799	12721	12907	12479	12246	12840	12656	12392	12390	12574	12233	13037	12658	12738	12789	12432	12515	12702	12562	12831	12677	12666	13165	12485	12823	12817	12811	13178	12692	12778	12641	12890	13130	12608	12827	12904	12517	13001	12908	13136	12267	12741	12666	12614	12478	12985	12969	12767	12547	12592	12352	12709	12604
36340	36585	36389	36739	37119	36638	36449	36572	37016	36758	36564	36437	36441	36777	36310	36512	36262	36343	36459	36875	36673	36481	36899	37123	36665	36455	36624	36746	36566	36756	36823	36881	36921	36739	36159	36463	36615	36914	36543	36756	36838	36822	36652	37003	37012	36351	36673	36114	36523	36743	36591	36282	36862	36845	36926	36571	36606	36578	36513	36266	36471	36620	36726	36854	36180	36550	36819	36874	36745	36244	36299	36360	36733	37061	37084	36542	36750	37059	36827	36634	36392	36900	36940	36848	36203	36701	36653	36300	36938	36345	36616	36223	36978	36097	37060	36477	36392	36576	36749	36875
96516	96562	96940	96342	96188	96663	96757	96820	96724	96259	97303	97153	96112	96678	96811	96516	96642	97132	96969	96317	97016	96907	96950	96434	96802	96749	97444	97173	96967	96759	96767	96753	97186	96942	97170	96764	96265	96777	97343	97091	96810	96933	96850	96839	97362	96837	97078	96667	96680	96098	97074	96954	96497	97229	96461	96064	97172	96836	96689	97054	96883	96639	96931	96489	97192	96639	97086	96649	96677	96725	97203	96072	96816	96309	97384	96303	96919	96467	96441	96878	97236	96679	96694	96777	96148	96729	96510	97001	96704	97084	96856	96651	96704	96916	96899	96573	96790	96988	96899	96341
250560	249990	250928	250537	250221	250481	251017	250217	250444	250286	250779	249980	249991	249840	249194	250903	250399	250916	250315	250757	250638	250950	250686	249870	249911	250886	250083	250972	250515	250517	250235	250409	251378	250600	251228	250891	250331	250265	250562	250302	251122	250709	250296	250984	250804	250827	250132	250561	250296	250578	250095	250390	250990	251040	250806	250392	250993	250717	250913	250050	250441	250486	250499	250172	250606	250789	250768	250893	250627	250106	250234	250624	250473	250852	250405	250725	250679	250327	251312	250519	250525	250846	251148	250617	250410	250389	250719	251103	249869	251050	250585	250879	250851	250494	250955	250506	250525	250375	250516	249601
647782	647447	647253	647830	646470	647572	647505	648133	647533	647205	648165	646742	647628	647226	646684	647161	647931	647223	647918	647330	647709	647211	646105	647683	648267	646312	647417	647680	647137	647388	647202	647484	647298	647695	647755	646646	648371	648021	647033	647654	648270	647394	647752	647764	647358	648546	647212	647897	647719	647094	647593	647801	647599	647734	647951	647834	648663	647266	647041	647425	647841	648371	647207	647899	647626	647665	647616	646616	647514	648368	647464	647391	648181	647374	648202	647100	646718	647541	647598	647848	647850	647603	647206	647897	647182	647797	647643	647544	647979	647927	647201	647362	647264	648102	647897	646920	648253	647805	647681	647381
1639937	1641349	1639847	1640459	1641433	1641079	1642299	1641198	1641033	1640791	1640961	1641584	1641648	1640915	1639310	1640971	1639542	1641219	1639884	1640234	1641556	1641142	1640504	1640546	1641409	1640524	1641139	1641622	1640344	1640528	1641301	1640719	1640848	1640702	1640497	1640015	1640143	1641234	1640779	1638653	1640131	1640948	1641427	1639925	1640861	1640311	1639590	1641058	1640047	1640908	1640240	1640716	1638742	1640651	1640890	1640942	1641207	1640544	1641096	1638908	1640668	1640995	1641410	1638855	1641283	1641009	1640574	1640844	1641239	1640972	1640837	1640521	1641056	1640723	1641045	1640309	1641912	1640057	1640000	1641208	1641411	1640083	1641712	1642316	1640342	1640754	1641542	1640666	1640600	1640779	1640173	1640117	1640788	1640746	1640259	1640997	1640091	1640982	1639514	1640930
